Property ID In AVL Packet,Property Name,Bytes,Type,Min value,Max value,Multiplier,Units,Description,Parameter Group
380,Digital output 3,1,Unsigned,0,1,-,-,"""Logic: 0/1""",Permanent I/O elements
381,Ground Sense,1,Unsigned,0,1,-,-,"""Logic: 0/1""",Permanent I/O elements
387,ISO6709 Coordinates,34,HEX,0,0x7fffffffffffffff,-,-,"""ISO6709 CoordinatesLatitude, Longitude (in Degrees, Minutes and Seconds) and Altitude: IO value format: ±DDMMSS.SSSS±DDDMMSS.SSSS±AAA.AAA/""",Permanent I/O elements
636,UMTS/LTE Cell ID,4,Unsigned,0,0xFFFFFFFF,-,-,"""""",Permanent I/O elements
403,Driver Name,35,Unsigned,-,-,-,-,"""Driver name extracted from card, displayed without delimiters ($ signs)""",Permanent I/O elements
404,Driver card license type,1,Unsigned,0,8,-,-,"""None - 0 B.1 license type - 1 B.2 license type - 2 B.3 license type - 3 B.4 license type - 4 T.1 license type - 5 T.2 license type - 6 T.3 license type - 7 T.4 license type - 8""",Permanent I/O elements
405,Driver Gender,1,Unsigned,0,2,-,-,"""None - 0 Male - 1 Female - 2""",Permanent I/O elements
406,Driver Card ID,4,Unsigned,0,4294967295,-,-,"""None - 0 Male - 1 Female - 2""",Permanent I/O elements
407,Driver card expiration date,1,Unsigned,0,9999,-,-,"""""",Permanent I/O elements
408,Driver Card place of issue,4,Unsigned,0,65535,-,-,"""Extracted from card""",Permanent I/O Elements
409,Driver Status Event,1,Unsigned,0,2,-,-,"""Registered - 0 Deregistered - 1 Swapping - 2""",Permanent I/O elements
329,AIN Speed,2,Unsigned,0,65535,-,-,"""""",Permanent I/O elements
500,MSP500 vendor name,40,ASCII,0,40,-,-,"""Name of the integrator who installed the device""",Permanent I/O elements
501,MSP500 vehicle number,40,ASCII,0,40,-,-,"""Vehicle number on which the device is installed""",Permanent I/O elements
502,MSP500 speed sensor,1,unsigned,0,1,-,-,"""Status of the speed sensor""",Permanent I/O elements
637,Wake Reason,1,Unsigned,0,1,-,-,"""True if device was woken by RTC alarm""",Permanent I/O elements
155,Geofence zone 01,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
156,Geofence zone 02,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
157,Geofence zone 03,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
158,Geofence zone 04,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
159,Geofence zone 05,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
61,Geofence zone 06,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
62,Geofence zone 07,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
63,Geofence zone 08,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
64,Geofence zone 09,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
65,Geofence zone 10,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
70,Geofence zone 11,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
88,Geofence zone 12,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
91,Geofence zone 13,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
92,Geofence zone 14,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
93,Geofence zone 15,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
94,Geofence zone 16,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
95,Geofence zone 17,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
96,Geofence zone 18,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
97,Geofence zone 19,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
98,Geofence zone 20,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
99,Geofence zone 21,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
153,Geofence zone 22,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
154,Geofence zone 23,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
190,Geofence zone 24,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
191,Geofence zone 25,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
192,Geofence zone 26,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
193,Geofence zone 27,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
194,Geofence zone 28,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
195,Geofence zone 29,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
196,Geofence zone 30,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
197,Geofence zone 31,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
198,Geofence zone 32,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
208,Geofence zone 33,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
209,Geofence zone 34,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
216,Geofence zone 35,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
217,Geofence zone 36,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
218,Geofence zone 37,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
219,Geofence zone 38,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
220,Geofence zone 39,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
221,Geofence zone 40,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
222,Geofence zone 41,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
223,Geofence zone 42,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
224,Geofence zone 43,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
225,Geofence zone 44,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
226,Geofence zone 45,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
227,Geofence zone 46,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
228,Geofence zone 47,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
229,Geofence zone 48,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
230,Geofence zone 49,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
231,Geofence zone 50,1,Unsigned,0,3,-,-,"""0 : target left zone 1 : target entered zone 2 : over speeding end 3 : over speeding start""",Eventual I/O elements
175,Auto Geofence,1,Unsigned,0,1,-,-,"""0 : target left zone 1 : target entered zone""",Eventual I/O elements
250,Trip,1,Unsigned,0,1,-,-,"""0 : trip stop 1 : trip start From 01.00.24 fw version available with BT app new values: 2 : Business Status 3 : Private Status 4-9 : Custom Statuses""",Eventual I/O elements
255,Over Speeding,1,Unsigned,0,255,-,km/h,"""At over speeding start km/h, at over speeding end km/h""",Eventual I/O elements
257,Crash trace data,Variable,HEX,0,1200,-,-,"""Crash trace data""",Eventual I/O elements
285,Blood alcohol content,2,Unsigned,0,9999,-,-,"""Alcohol content in blood in perlims and mode. First 14 bits from MSB are perlims multiplied by 1000 and last to bits are 0 - Passive test, 1 Active test, 2 and 3 are reserved.""",Eventual I/O elements
251,Idling,1,Unsigned,0,1,-,-,"""0 : moving 1 : idling""",Eventual I/O elements
253,Green driving type,1,Unsigned,1,3,-,-,"""1 : harsh acceleration 2 : harsh braking 3 : harsh cornering""",Eventual I/O elements
246,Towing,1,Unsigned,0,1,-,-,"""0 : steady 1 : towing""",Eventual I/O elements
252,Unplug,1,Unsigned,0,1,-,-,"""0 : battery present 1 : battery unplugged""",Eventual I/O elements
247,Crash detection,1,Unsigned,1,6,-,-,"""1 : real crash detected (device is calibrated) 2 : limited crash trace (device not calibrated) 3 - limited crash trace (device is calibrated) 4 - full crash trace (device not calibrated) 5 - full crash trace (device is calibrated) 6 - real crash detected (device not calibrated) 7 - fake crash detected (device calibrated, pothole) 8 - fake crash detected (device calibrated, speed check)""",Eventual I/O elements
248,Immobilizer,1,Unsigned,0,2,-,-,"""0 : iButton not connected 1 : iButton connected (Immobilizer) 2 : iButton connected (Authorized Driving)""",Eventual I/O elements
254,Green Driving Value,2,Unsigned,0,255,acc and braking: 0.01,G or rad,"""Depending on green driving type: if harsh acceleration or braking : g*100 (value 123 -> 1.23g). If Green driving source is „GPS“ : harsh cornering value is rad/s*100. If source is „Accelerometer“ : g*100.""",Eventual I/O elements
249,Jamming,1,Unsigned,0,1,-,-,"""0 : jamming stop 1 : jamming start""",Eventual I/O elements
14,ICCID2,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Value of SIM ICCID, LSB""",Eventual I/O elements
243,Green driving event duration,2,Unsigned,0,65535,-,ms,"""Duration of event that did generate Green driving""",Eventual I/O elements
236,Alarm,1,Unsigned,0,1,-,-,"""0 : Reserved 1 : Alarm event occured""",Eventual I/O elements
258,EcoMaximum,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Element stores maximum accelerometer values in mg on all axis during Eco driving event 8 Bytes: 2B Zeros 2B - X axis 2B - Y axis 2B - Z axis""",Eventual I/O elements
259,EcoAverage,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Element stores average accelerometer values in mg on all axis during Eco driving event 8 Bytes: 2B Zeros 2B - X axis 2B - Y axis 2B - Z axis""",Eventual I/O elements
260,EcoDuration,2,Unsigned,0,65535,-,ms,"""Duration of Eco driving event in miliseconds""",Eventual I/O elements
283,Driving State,1,Unsigned,0,3,-,-,"""1 - Ignition ON 2 - Driving 3 - Ignition OFF""",Eventual I/O elements
284,Driving Records,2,Unsigned,0,65535,-,-,"""Number of Records between Ignition ON and Ignition OFF""",Eventual I/O elements
391,Private mode,1,Unsigned,0,255,-,-,"""Private mode state0 - Private mode off 1 - Private mode on""",Eventual I/O elements
317,Crash event counter,1,Unsigned,0,255,-,-,"""Connects trace with specific eventual crash record""",Eventual I/O elements
449,Ignition On Counter,4,Unsigned,0,2147483647,-,s,"""0 - Disable 1 - Enable""",Eventual I/O elements
256,VIN,17,ASCII,0,0xff,-,-,"""VIN number""",OBD elements
30,Number of DTC,1,Unsigned,0,255,-,-,"""Number of DTC""",OBD elements
31,Engine Load,1,Unsigned,0,100,-,%,"""Calculated engine load value""",OBD elements
32,Coolant Temperature,1,Signed,−128,127,-,°C,"""Engine coolant temperature""",OBD elements
33,Short Fuel Trim,1,Signed,−100,99,-,%,"""Short term fuel trim 1""",OBD elements
34,Fuel pressure,2,Unsigned,0,765,-,kPa,"""Fuel pressure""",OBD elements
35,Intake MAP,1,Unsigned,0,255,-,kPa,"""Intake manifold absolute pressure""",OBD elements
36,Engine RPM,2,Unsigned,0,16384,-,rpm,"""Engine RPM""",OBD elements
37,Vehicle Speed,1,Unsigned,0,255,-,km/h,"""Vehicle speed""",OBD elements
38,Timing Advance,1,Signed,−64,64,-,°,"""Timing advance""",OBD elements
39,Intake Air Temperature,1,Signed,−128,127,-,°C,"""Intake air temperature""",OBD elements
40,MAF,2,Unsigned,0,65535,0.01,g/sec,"""MAF air flow rate""",OBD elements
41,Throttle Position,1,Unsigned,0,100,-,%,"""Throttle position""",OBD elements
42,Runtime since engine start,2,Unsigned,0,65535,-,s,"""Runtime since engine start""",OBD elements
43,Distance Traveled MIL On,2,Unsigned,0,65535,-,km,"""Distance ormattin MIL on""",OBD elements
44,Relative Fuel Rail Pressure,2,Unsigned,0,5178,0.1,kPa,"""Relative fuel rail pressure""",OBD elements
45,Direct Fuel Rail Pressure,2,Unsigned,0,65535,10,kPa,"""Direct Fuel Rail Pressure""",OBD elements
46,Commanded EGR,1,Unsigned,0,100,-,%,"""Commanded EGR""",OBD elements
47,EGR Error,1,Signed,−100,100,-,%,"""EGR error""",OBD elements
48,Fuel Level,1,Unsigned,0,100,-,%,"""Fuel level""",OBD elements
49,Distance Since Codes Clear,2,Unsigned,0,65535,-,km,"""Distance traveled since codes cleared""",OBD elements
50,Barometic Pressure,1,Unsigned,0,255,-,kPa,"""Barometic pressure""",OBD elements
51,Control Module Voltage,2,Unsigned,0,65535,0.001,V,"""Control module voltage""",OBD elements
52,Absolute Load Value,2,Unsigned,0,25700,-,%,"""Absolute load value""",OBD elements
759,Fuel Type,1,Unsigned,0,255,-,-,"""0 Not available 1 Gasoline 2 Methanol 3 Ethanol 4 Diesel 5 LPG 6 CNG 7 Propane 8 Electric 9 Bifuel running Gasoline 10 Bifuel running Methanol 11 Bifuel running Ethanol 12 Bifuel running LPG 13 Bifuel running CNG 14 Bifuel running Propane 15 Bifuel running Electricity 16 Bifuel running electric and combustion engine 17 Hybrid gasoline 18 Hybrid Ethanol 19 Hybrid Diesel 20 Hybrid Electric 21 Hybrid running electric and combustion engine 22 Hybrid Regenerative 23 Bifuel running diesel""",OBD elements
53,Ambient Air Temperature,1,Signed,−128,127,-,°C,"""Ambient air temperature""",OBD elements
54,Time Run With MIL On,2,Unsigned,0,65535,-,min,"""Time run with MIL on""",OBD elements
55,Time Since Codes Cleared,2,Unsigned,0,65535,-,min,"""Time since codes cleared""",OBD elements
56,Absolute Fuel Rail Pressure,2,Unsigned,0,65535,0.1,kPa,"""Absolute fuel rail pressure""",OBD elements
57,Hybrid battery pack life,1,Unsigned,0,100,-,%,"""Hybrid battery pack remaining life""",OBD elements
58,Engine Oil Temperature,1,Unsigned,0,215,-,°C,"""Engine oil temperature""",OBD elements
59,Fuel injection timing,2,Signed,−21000,30200,0.01,°,"""Fuel injection timing""",OBD elements
543,Hybrid System Voltage,2,Unsigned,0,1024,-,V,"""Hybrid vehicle system voltage""",OBD elements
544,Hybrid System Current,2,Signed,−3277,3277,-,A,"""Hybrid vehicle system current""",OBD elements
281,Fault Codes,variable,ASCII,0,128,-,-,"""Fault Codes (values separated via "","")""",OBD elements
60,Fuel Rate,2,Unsigned,0,32767,0.01,L/h,"""Engine fuel rate, L/h*100""",OBD elements
389,OBD OEM Total Mileage,4,Unsigned,0,0xffffffff,-,km,"""Total mileage received by requesting vehicle specific PID""",OBD OEM elements
390,OBD OEM Fuel Level,4,Unsigned,0,0xffffffff,0.1,l,"""Fuel level in litres received by requesting vehicle specific PID""",OBD OEM elements
402,OEM Distance Until Service,4,Unsigned,0,0xffffffff,-,km,"""Distance till next service received by requesting vehicle specific PID""",OBD OEM elements
410,OEM Battery charge state,1,Unsigned,0,1,-,-,"""0 : Not charging 1 : Charging""",OBD OEM elements
411,OEM Battery charge level,1,Unsigned,0,100,-,%,"""Represents battery charged level""",OBD OEM elements
412,OEM Battery power consumption,2,Unsigned,0,65535,-,kWh/100km,"""Represents battery power consumption""",OBD OEM elements
755,OEM Remaining distance,2,Unsigned,0,65535,-,km,"""Remaining distance until fuel tank empty or battery (EV) depleted""",OBD OEM elements
1151,OEM Battery State Of Health,2,Unsigned,0,65535,-,%,"""Battery State of Health""",OBD OEM elements
1152,OEM Battery Temperature,2,Signed,−32768,32767,-,°C,"""Battery pack temperature""",OBD OEM elements
385,Beacon,Variable,HEX,0,1024,-,-,"""List of Beacon IDs""",Permanent I/O elements
548,Advanced BLE Beacon data,1024,HEX,0,1024,-,-,"""List of Beacon Ids and their data when advanced Beacon mode is selected""",Eventual I/O elements
25,BLE Temperature #1,2,Signed,−4000,12500,0.01*,°C,"""Degrees ( °C ), -40 - +125; Error codes: 4000 - abnormal sensor state 3000 - sensor not found 2000 - failed sensor data parsing From firmware version 03.28.00 and up: 32767 - sensor not found 32766 - failed sensor data parsing 32765 - abnormal sensor state""",Bluetooth Low Energy
